date,idle1,sleep1,idle2,cours1,idle3,cours2,idle4,sleep2
18 1 2019,1.833333333,5.916666667,0.25,2,3.5,4,6.5,0
19 1 2019,1.833333333,9.166666667,0,0,0,0,13,0
20 1 2019,2.666666667,7.666666667,0,0,0,0,13.66666667,0
21 1 2019,2,8,0,0,0,0,14,0
22 1 2019,1,8,0,0,0,0,15,0
23 1 2019,1,6.75,0.25,4,0,0,12,0
24 1 2019,1,6.75,0.25,4,0,0,12,0
25 1 2019,1.5,8,4,0,0,4,6.5,0
26 1 2019,1.5,8.5,0,0,0,0,14,0
27 1 2019,2,9,0,0,0,0,13,0
28 1 2019,2.5,6.5,5,0,0,4,6,0
29 1 2019,0,7.5,0.5,4,0,0,12,1.5
30 1 2019,2,5.75,0.25,4,0,0,12,0
31 1 2019,2,6.5,0.5,3,1,2,9,0
1 2 2019,2.5,8,5.5,0,0,4,4,0
2 2 2019,1,8.5,0,0,0,0,14.5,0
3 2 2019,2,9.5,0,0,0,0,12.5,0
4 2 2019,2.5,8,0,0,0,0,13.5,0
5 2 2019,1,7,0.25,3.75,0,0,12,0
6 2 2019,1,8.5,0,0,0,0,14.5,0
7 2 2019,1.75,7,0.25,10.5,0,0,4.5,0
8 2 2019,1.75,6,0.25,4,1.5,4,6.5,0
